ParishCodeB;ParishCodeA;location_id
180412;180412;2645
180413;180413;2646
180414;180414;2647
180415;180415;2648
180416;180416;2649
180417;180417;2650
180418;180418;2651
180502;180502;2652
180504;180504;2653
180505;180505;2654
180507;180507;2655
180508;180508;2656
180509;180509;2657
180510;180510;2658
180525;180525;2659
180511;180511;2660
180516;180516;2661
180517;180517;2662
180519;180519;2663
180520;180520;2664
180526;180526;2665
180527;180527;2666
180528;180528;2667
180523;180523;2668
180524;180524;2669
180601;180601;2670
180602;180602;2671
180605;180605;2672
180606;180606;2673
180607;180607;2674
180608;180608;2675
180614;180614;2676
180616;180616;2677
180619;180619;2678
180620;180620;2679
180621;180621;2680
180622;180622;2681
180702;180702;2682
180703;180703;2683
180705;180705;2684
180706;180706;2685
180707;180707;2686
180708;180708;2687
180709;180709;2688
180710;180710;2689
180713;180713;2690
180717;180717;2691
180719;180719;2692
180721;180721;2693
180722;180722;2694
180723;180723;2695
180716;180716;2696
180720;180720;2697
180802;180802;2698
180804;180804;2699
180805;180805;2700
180807;180807;2701
180808;180808;2702
180809;180809;2703
180811;180811;2704
180901;180901;2705
180908;180908;2706
180903;180903;2707
180905;180905;2708
180910;180910;2709
180911;180911;2710
180906;180906;2711
181002;181002;2712
181005;181005;2713
181007;181007;2714
181008;181008;2715
181009;181009;2716
181013;181013;2717
181014;181014;2718
181015;181015;2719
181102;181102;2720
181103;181103;2721
181104;181104;2722
181105;181105;2723
181106;181106;2724
181109;181109;2725
181110;181110;2726
181111;181111;2727
181112;181112;2728
181114;181114;2729
181115;181115;2730
181202;181202;2731
181203;181203;2732
181207;181207;2733
181208;181208;2734
181209;181209;2735
181210;181210;2736
181211;181211;2737
181302;181302;2738
181303;181303;2739
181310;181310;2740
181311;181311;2741
181312;181312;2742
181313;181313;2743
181314;181314;2744
181316;181316;2745
181317;181317;2746
181318;181318;2747
181319;181319;2748
181403;181403;2749
181405;181405;2750
181406;181406;2751
181410;181410;2752
181411;181411;2753
181412;181412;2754
181801;181801;2755
181802;181802;2756
181803;181803;2757
181804;181804;2758
181806;181806;2759
181810;181810;2760
181811;181811;2761
181814;181814;2762
181818;181818;2763
181819;181819;2764
181820;181820;2765
181821;181821;2766
181817;181817;2767
181702;181702;2768
181704;181704;2769
